Point,ID,Year,Date,MAWR,SESP,CLRA,WILL,OROR,RWBL,CONI,LEBI,GRHE,BCNH,YCNH,COYE,Total,Average
W1,J53,2016,1-Apr,1,0,1,0,0,0,0,0,0,0,0,0,2,0.17
W1,J53,2016,2-Apr,1,0,1,0,0,0,0,0,0,0,0,0,2,0.17
W1,J53,2016,3-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,4-Apr,0,0,1,0,0,1,0,0,0,0,0,0,2,0.17
W1,J53,2016,5-Apr,0,0,1,0,0,1,0,0,0,0,0,0,2,0.17
W1,J53,2016,6-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,7-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,8-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,9-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,10-Apr,0,0,1,0,0,0,0,0,0,0,0,0,1,0.08
W1,J53,2016,11-Apr,0,0,1,0,0,0,0,0,0,0,0,0,1,0.08
W1,J53,2016,12-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,13-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,14-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,15-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,16-Apr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1,J53,2016,17-Apr,0,0,1,0,0,0,0,0,0,0,0,0,1,0.08
W1,J53,2016,18-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,19-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,20-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,21-Apr,1,0,0,0,0,1,0,0,0,0,0,0,2,0.17
W1,J53,2016,22-Apr,0,0,0,1,0,0,0,0,0,0,0,0,1,0.08
W1,J53,2016,23-Apr,1,0,1,0,1,1,1,0,0,0,0,0,5,0.42
W1,J53,2016,24-Apr,1,0,1,0,1,1,1,0,0,0,0,0,5,0.42
W1,J53,2016,25-Apr,1,0,1,0,1,1,1,0,1,0,0,0,6,0.5
W1,J53,2016,26-Apr,0,0,1,0,0,1,0,0,0,0,0,0,2,0.17
W1,J53,2016,27-Apr,0,0,1,0,0,1,0,0,1,0,0,0,3,0.25
W1,J53,2016,28-Apr,0,0,0,0,0,1,0,0,0,0,0,0,1,0.08
W1,J53,2016,29-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,30-Apr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1,J53,2016,1-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1,J53,2016,2-May,1,0,1,1,1,1,1,0,0,1,0,1,8,0.67
W1,J53,2016,3-May,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,4-May,1,0,1,1,1,1,0,0,0,0,0,0,5,0.42
W1,J53,2016,5-May,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,6-May,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W1,J53,2016,7-May,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W1,J53,2016,8-May,0,0,0,0,0,1,0,0,0,0,0,0,1,0.08
W1,J53,2016,9-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1,J53,2016,10-May,0,0,1,0,0,0,0,0,0,0,0,0,1,0.08
W1,J53,2016,11-May,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,12-May,1,0,1,0,1,1,1,0,0,0,0,0,5,0.42
W1,J53,2016,13-May,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,14-May,1,0,1,1,0,1,1,0,0,0,0,0,5,0.42
W1,J53,2016,15-May,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,16-May,1,0,0,0,1,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,17-May,1,0,0,0,0,1,0,0,0,0,0,0,2,0.17
W1,J53,2016,18-May,1,0,1,0,1,1,1,0,0,1,0,0,6,0.5
W1,J53,2016,19-May,1,0,1,0,1,1,0,0,0,0,0,0,4,0.33
W1,J53,2016,20-May,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,21-May,1,0,0,0,1,1,1,0,0,0,0,0,4,0.33
W1,J53,2016,22-May,1,0,0,0,1,1,1,0,0,0,0,0,4,0.33
W1,J53,2016,23-May,1,0,1,1,1,1,0,0,0,0,0,0,5,0.42
W1,J53,2016,24-May,1,0,1,1,1,1,0,0,0,0,0,0,5,0.42
W1,J53,2016,25-May,1,0,1,1,0,1,0,0,0,0,0,0,4,0.33
W1,J53,2016,26-May,0,0,1,0,1,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,27-May,0,0,1,0,1,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,28-May,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W1,J53,2016,29-May,1,0,0,1,0,1,1,0,0,0,0,0,4,0.33
W1,J53,2016,30-May,1,0,1,1,1,1,0,0,0,0,0,0,5,0.42
W1,J53,2016,31-May,1,0,0,0,1,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,1-Jun,1,0,0,0,1,1,1,0,0,0,0,0,4,0.33
W1,J53,2016,2-Jun,0,0,1,0,0,1,0,0,0,0,0,0,2,0.17
W1,J53,2016,3-Jun,1,0,0,0,0,1,0,0,0,0,0,0,2,0.17
W1,J53,2016,4-Jun,1,0,0,0,0,1,0,0,0,0,0,0,2,0.17
W1,J53,2016,5-Jun,1,0,1,0,1,1,1,0,0,0,0,0,5,0.42
W1,J53,2016,6-Jun,1,0,1,0,1,1,0,0,0,0,0,0,4,0.33
W1,J53,2016,7-Jun,1,0,1,0,1,1,1,0,0,0,0,0,5,0.42
W1,J53,2016,8-Jun,1,0,1,0,1,1,1,0,1,0,0,0,6,0.5
W1,J53,2016,9-Jun,1,0,1,0,1,1,1,0,0,0,0,0,5,0.42
W1,J53,2016,10-Jun,1,0,0,0,0,1,0,0,0,0,0,0,2,0.17
W1,J53,2016,11-Jun,1,0,1,1,1,1,0,0,0,0,0,0,5,0.42
W1,J53,2016,12-Jun,1,0,1,1,1,1,0,0,0,0,0,0,5,0.42
W1,J53,2016,13-Jun,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W1,J53,2016,14-Jun,1,0,1,0,1,1,1,0,0,0,0,0,5,0.42
W1,J53,2016,15-Jun,0,0,0,0,1,1,0,0,0,0,0,0,2,0.17
W1,J53,2016,16-Jun,1,0,0,0,0,1,0,0,0,0,0,0,2,0.17
W1,J53,2016,17-Jun,1,0,0,0,1,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,18-Jun,1,0,1,0,1,1,1,0,0,0,0,0,5,0.42
W1,J53,2016,19-Jun,1,0,1,0,1,1,1,0,0,0,0,0,5,0.42
W1,J53,2016,20-Jun,1,0,1,1,0,1,0,0,0,0,0,0,4,0.33
W1,J53,2016,21-Jun,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,22-Jun,1,0,1,0,1,1,1,0,0,0,0,0,5,0.42
W1,J53,2016,23-Jun,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,24-Jun,0,0,0,0,1,1,1,0,0,0,0,0,3,0.25
W1,J53,2016,25-Jun,1,0,0,0,0,1,0,0,0,0,0,0,2,0.17
W1,J53,2016,26-Jun,1,0,0,0,1,1,1,0,0,0,0,0,4,0.33
W1,J53,2016,27-Jun,1,0,0,0,1,1,0,0,0,0,0,0,3,0.25
W1,J53,2016,28-Jun,1,0,0,1,1,1,1,0,0,0,0,0,5,0.42
W1,J53,2016,29-Jun,1,0,0,0,1,1,1,0,0,0,0,0,4,0.33
W1,J53,2016,30-Jun,1,0,1,0,1,1,1,0,0,0,0,0,5,0.42
W1,J53,2016,1-Jul,1,0,0,0,1,1,1,0,0,0,0,0,4,0.33
W10,J32,2016,1-Apr,0,0,1,0,0,1,0,0,0,0,0,0,2,0.17
W10,J32,2016,2-Apr,1,0,1,0,0,0,0,0,0,0,0,0,2,0.17
W10,J32,2016,3-Apr,0,0,1,0,0,1,0,0,0,0,0,0,2,0.17
W10,J32,2016,4-Apr,0,0,1,0,0,1,0,0,0,0,0,0,2,0.17
W10,J32,2016,5-Apr,0,0,0,0,0,1,0,0,0,0,0,0,1,0.08
W10,J32,2016,6-Apr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W10,J32,2016,7-Apr,0,0,0,0,0,1,0,0,0,0,0,0,1,0.08
W10,J32,2016,8-Apr,0,0,1,0,0,0,0,0,0,0,0,0,1,0.08
W10,J32,2016,9-Apr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W10,J32,2016,10-Apr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W10,J32,2016,11-Apr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W10,J32,2016,12-Apr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W10,J32,2016,13-Apr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W10,J32,2016,14-Apr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W10,J32,2016,15-Apr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W10,J32,2016,16-Apr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W10,J32,2016,17-Apr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W10,J32,2016,18-Apr,1,0,1,1,1,1,0,0,0,1,0,0,6,0.5
W10,J32,2016,19-Apr,0,0,1,1,0,1,1,0,0,0,0,0,4,0.33
W10,J32,2016,20-Apr,1,0,1,0,1,1,0,0,0,0,0,0,4,0.33
W10,J32,2016,21-Apr,1,0,1,1,1,1,1,0,0,0,0,0,6,0.5
W10,J32,2016,22-Apr,1,0,1,1,0,1,1,1,0,0,0,1,7,0.58
W10,J32,2016,23-Apr,1,0,1,1,0,1,1,0,0,0,0,1,6,0.5
W10,J32,2016,24-Apr,1,0,1,0,1,0,0,0,0,0,0,0,3,0.25
W10,J32,2016,25-Apr,1,0,1,0,0,0,0,0,0,0,0,1,3,0.25
W10,J32,2016,26-Apr,0,0,1,0,0,1,0,0,0,0,0,0,2,0.17
W10,J32,2016,27-Apr,0,0,1,0,0,1,0,0,0,0,0,0,2,0.17
W10,J32,2016,28-Apr,1,0,1,0,0,0,0,0,0,0,0,0,2,0.17
W10,J32,2016,29-Apr,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W10,J32,2016,30-Apr,1,0,1,1,0,1,1,0,0,1,0,1,7,0.58
W10,J32,2016,1-May,1,0,1,1,0,1,1,0,0,0,0,0,5,0.42
W10,J32,2016,2-May,0,0,1,0,0,1,0,0,0,1,0,0,3,0.25
W10,J32,2016,3-May,1,0,1,1,1,1,1,0,0,0,0,0,6,0.5
W10,J32,2016,4-May,1,0,1,0,1,1,1,0,0,0,0,0,5,0.42
W10,J32,2016,5-May,1,0,1,1,1,1,0,0,0,0,0,0,5,0.42
W10,J32,2016,6-May,1,0,1,0,0,0,0,0,0,0,0,0,2,0.17
W10,J32,2016,7-May,1,0,1,1,1,0,0,0,0,0,0,0,4,0.33
W10,J32,2016,8-May,1,0,1,1,1,1,0,0,0,0,0,0,5,0.42
W10,J32,2016,9-May,1,0,1,0,1,0,0,0,0,0,0,0,3,0.25
W10,J32,2016,10-May,0,0,1,1,1,1,1,0,0,0,0,0,5,0.42
W10,J32,2016,11-May,1,1,1,1,1,1,1,1,0,0,0,0,8,0.67
W10,J32,2016,12-May,1,1,1,0,1,1,1,1,0,1,0,0,8,0.67
W10,J32,2016,13-May,1,0,1,0,1,1,1,0,0,0,0,0,5,0.42
W10,J32,2016,14-May,0,0,1,1,0,1,0,0,0,0,0,0,3,0.25
W10,J32,2016,15-May,1,0,1,1,1,1,1,0,0,0,0,0,6,0.5
W10,J32,2016,16-May,1,0,1,0,1,1,1,0,0,0,0,0,5,0.42
W10,J32,2016,17-May,0,0,1,0,1,1,1,0,0,0,0,0,4,0.33
W10,J32,2016,18-May,1,0,1,1,0,1,1,0,0,0,0,0,5,0.42
W10,J32,2016,19-May,1,0,1,1,1,1,1,0,0,0,0,0,6,0.5
W10,J32,2016,20-May,1,0,1,1,1,1,1,0,0,0,0,0,6,0.5
W10,J32,2016,21-May,1,0,1,0,1,1,1,0,0,0,0,0,5,0.42
W10,J32,2016,22-May,1,0,1,0,1,1,1,0,0,0,0,0,5,0.42
W10,J32,2016,23-May,1,0,1,0,1,0,1,0,0,0,0,0,4,0.33
W10,J32,2016,24-May,0,0,0,0,1,0,0,0,0,0,0,0,1,0.08
W10,J32,2016,25-May,1,0,1,0,1,0,1,0,0,0,0,0,4,0.33
W10,J32,2016,26-May,1,0,1,0,1,1,1,1,0,0,0,0,6,0.5
W10,J32,2016,27-May,1,0,1,1,1,1,1,0,0,0,0,0,6,0.5
W10,J32,2016,28-May,1,0,1,1,1,0,1,0,0,0,0,0,5,0.42
W10,J32,2016,29-May,1,0,1,0,1,1,1,0,0,0,0,0,5,0.42
W10,J32,2016,30-May,1,0,1,0,1,1,1,0,0,0,0,0,5,0.42
W10,J32,2016,31-May,1,0,1,1,1,1,0,0,0,0,0,0,5,0.42
W10,J32,2016,1-Jun,1,0,1,0,1,0,1,0,0,0,0,0,4,0.33
W10,J32,2016,2-Jun,1,0,1,0,1,0,0,0,0,0,0,0,3,0.25
W10,J32,2016,3-Jun,0,0,1,0,1,1,1,0,0,0,0,0,4,0.33
W10,J32,2016,4-Jun,1,0,1,1,1,1,1,0,0,0,0,0,6,0.5
W10,J32,2016,5-Jun,1,0,1,1,1,1,1,0,0,1,0,0,7,0.58
W10,J32,2016,6-Jun,1,0,1,1,1,1,1,0,0,0,0,0,6,0.5
W10,J32,2016,7-Jun,1,0,1,1,1,1,1,0,0,0,0,0,6,0.5
W10,J32,2016,8-Jun,0,0,1,1,0,1,1,0,0,0,0,0,4,0.33
W10,J32,2016,9-Jun,1,0,1,1,1,1,1,0,0,0,0,0,6,0.5
W10,J32,2016,10-Jun,1,0,1,0,1,0,1,0,0,0,0,0,4,0.33
W10,J32,2016,11-Jun,1,0,0,0,1,0,1,0,0,0,0,0,3,0.25
W10,J32,2016,12-Jun,0,0,1,1,1,1,1,0,0,0,0,0,5,0.42
W10,J32,2016,13-Jun,1,0,1,1,1,1,1,0,0,0,0,0,6,0.5
W10,J32,2016,14-Jun,1,0,1,0,1,0,1,0,0,0,0,0,4,0.33
W10,J32,2016,15-Jun,1,0,1,1,1,1,1,0,0,0,0,0,6,0.5
W10,J32,2016,16-Jun,1,0,1,1,1,1,1,0,0,0,0,0,6,0.5
W10,J32,2016,17-Jun,1,0,0,1,0,1,1,0,0,0,0,0,4,0.33
W10,J32,2016,18-Jun,1,0,1,1,1,1,1,0,0,0,0,0,6,0.5
W10,J32,2016,19-Jun,1,0,1,1,1,1,1,0,0,0,0,0,6,0.5
W10,J32,2016,20-Jun,1,0,0,1,1,1,1,0,0,0,0,0,5,0.42
W10,J32,2016,21-Jun,1,0,1,1,1,1,1,0,0,0,0,0,6,0.5
W10,J32,2016,22-Jun,1,0,1,1,1,0,1,0,0,0,0,0,5,0.42
W10,J32,2016,23-Jun,1,0,1,1,1,0,1,0,0,0,0,0,5,0.42
W10,J32,2016,24-Jun,1,0,1,1,1,1,1,0,0,0,0,0,6,0.5
W10,J32,2016,25-Jun,1,1,1,1,1,1,1,0,0,0,0,0,7,0.58
W10,J32,2016,26-Jun,1,0,1,1,1,1,1,0,0,0,0,0,6,0.5
W10,J32,2016,27-Jun,1,0,1,1,1,1,1,0,0,0,0,0,6,0.5
W10,J32,2016,28-Jun,0,0,1,1,1,1,1,0,0,1,0,0,6,0.5
W10,J32,2016,29-Jun,1,0,0,1,1,1,1,0,0,0,0,0,5,0.42
W10,J32,2016,30-Jun,1,0,1,0,1,1,1,0,0,0,0,0,5,0.42
W10,J32,2016,1-Jul,0,0,0,0,1,0,1,0,0,0,0,0,2,0.17
W11,J1,2016,1-Apr,1,0,0,0,0,1,0,0,0,0,0,0,2,0.17
W11,J1,2016,2-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,3-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,4-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,5-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,6-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,7-Apr,1,0,1,1,0,1,0,0,0,0,0,0,4,0.33
W11,J1,2016,8-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,9-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,10-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,11-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,12-Apr,1,0,1,0,0,1,0,0,1,0,0,0,4,0.33
W11,J1,2016,13-Apr,1,0,0,0,0,0,0,0,0,0,0,0,1,0.08
W11,J1,2016,14-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,15-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,16-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,17-Apr,0,0,0,0,0,1,0,0,0,0,0,0,1,0.08
W11,J1,2016,18-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,19-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,20-Apr,0,0,1,0,0,1,0,0,0,0,0,0,2,0.17
W11,J1,2016,21-Apr,0,0,1,0,0,1,0,0,0,0,0,0,2,0.17
W11,J1,2016,22-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,23-Apr,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W11,J1,2016,24-Apr,1,0,1,1,1,1,1,0,0,0,0,0,6,0.5
W11,J1,2016,25-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,26-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,27-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,28-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,29-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,30-Apr,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,1-May,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,2-May,1,0,1,1,0,1,0,0,0,1,0,0,5,0.42
W11,J1,2016,3-May,1,0,1,1,0,1,0,0,1,1,0,0,6,0.5
W11,J1,2016,4-May,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,5-May,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,6-May,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W11,J1,2016,7-May,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W11,J1,2016,8-May,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W11,J1,2016,9-May,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,10-May,0,0,1,0,0,1,1,0,0,0,0,0,3,0.25
W11,J1,2016,11-May,1,0,1,0,0,1,0,0,0,1,0,0,4,0.33
W11,J1,2016,12-May,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,13-May,1,0,0,0,0,1,0,0,1,0,0,0,3,0.25
W11,J1,2016,14-May,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W11,J1,2016,15-May,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W11,J1,2016,16-May,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W11,J1,2016,17-May,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W11,J1,2016,18-May,1,0,1,0,0,1,0,0,0,1,0,0,4,0.33
W11,J1,2016,19-May,1,0,1,1,1,1,1,0,0,0,0,0,6,0.5
W11,J1,2016,20-May,1,0,1,1,0,1,0,0,0,0,0,0,4,0.33
W11,J1,2016,21-May,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,22-May,1,0,1,1,0,1,1,0,0,1,0,0,6,0.5
W11,J1,2016,23-May,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W11,J1,2016,24-May,1,0,1,1,0,1,1,0,0,0,0,0,5,0.42
W11,J1,2016,25-May,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,26-May,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,27-May,0,0,0,0,0,1,0,0,0,0,0,0,1,0.08
W11,J1,2016,28-May,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W11,J1,2016,29-May,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W11,J1,2016,30-May,1,0,0,0,0,1,0,0,0,0,0,0,2,0.17
W11,J1,2016,31-May,1,0,1,0,1,1,1,0,0,0,0,0,5,0.42
W11,J1,2016,1-Jun,1,0,0,1,0,1,1,0,0,0,0,0,4,0.33
W11,J1,2016,2-Jun,1,0,0,0,0,1,1,0,0,0,0,0,3,0.25
W11,J1,2016,3-Jun,1,0,0,0,0,1,1,0,0,0,0,0,3,0.25
W11,J1,2016,4-Jun,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W11,J1,2016,5-Jun,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W11,J1,2016,6-Jun,1,0,1,0,1,1,1,0,0,0,0,0,5,0.42
W11,J1,2016,7-Jun,1,0,1,0,1,1,1,0,0,0,0,0,5,0.42
W11,J1,2016,8-Jun,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W11,J1,2016,9-Jun,1,0,1,0,1,1,0,0,0,0,0,0,4,0.33
W11,J1,2016,10-Jun,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W11,J1,2016,11-Jun,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W11,J1,2016,12-Jun,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W11,J1,2016,13-Jun,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W11,J1,2016,14-Jun,1,0,0,0,0,1,0,0,0,0,0,0,2,0.17
W11,J1,2016,15-Jun,1,0,0,0,0,1,1,0,0,0,0,0,3,0.25
W11,J1,2016,16-Jun,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W11,J1,2016,17-Jun,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,18-Jun,1,0,1,1,0,1,1,0,0,0,0,0,5,0.42
W11,J1,2016,19-Jun,1,0,1,1,0,1,0,0,0,0,0,0,4,0.33
W11,J1,2016,20-Jun,1,0,1,1,0,1,1,0,0,0,0,0,5,0.42
W11,J1,2016,21-Jun,1,0,1,0,0,1,1,0,0,0,0,0,4,0.33
W11,J1,2016,22-Jun,1,0,1,1,0,1,1,0,0,0,0,0,5,0.42
W11,J1,2016,23-Jun,1,0,1,1,0,1,0,0,1,0,0,0,5,0.42
W11,J1,2016,24-Jun,1,0,1,1,0,1,1,0,0,0,0,0,5,0.42
W11,J1,2016,25-Jun,1,0,1,0,0,1,0,0,0,0,0,0,3,0.25
W11,J1,2016,26-Jun,1,0,1,0,0,0,0,0,0,0,0,0,2,0.17
