Point,Island,Year,LOCATION,Lat,Long,DomCover,DomVeg,plant_av,water_av,bare_av,plantheight_av_cm,water_depth_av_cm,SPPDiv,Salav,Grassav,BMav,WSav
R1,Raccoon,2016,Reference,-90.91784,29.04962,plant,ugrass,1,0,0,12.7,0,1,0,0,0,1
R1,Raccoon,2017,Reference,-90.91784,29.04962,mix,ugrass,0.5,0,0.5,6.35,0,0.5,0,0,0,0
R1,Raccoon,2018,Reference,-90.91784,29.04962,mix,ugrass,0.4,0,0.6,60.96,0,0.5,0,0,0,0
R10,Raccoon,2016,Restored,-90.93176,29.05423,bare,bare,0,0,1,0,0,0,0,0,0,0
R10,Raccoon,2017,Restored,-90.93176,29.05423,bare,bare,0,0,1,0,0,0,0,0,0,0
R10,Raccoon,2018,Restored,-90.93176,29.05423,bare,grass,0.2,0,0.8,30.48,0,0,0,1,0,0
R11,Raccoon,2016,Reference,-90.93283,29.05387,plant,ugrass,1,0,0,12.7,0,1,0,1,0,0
R11,Raccoon,2017,Reference,-90.93283,29.05387,mix,sal,0.5,0,0.5,71.12,0,1,0.6,0,0.4,0
R11,Raccoon,2018,Reference,-90.93283,29.05387,mix,BM,0.4,0,0.6,91.44,0,1,0,0,1,0
R12,Raccoon,2016,Reference,-90.93394,29.05423,bare,bare,0,0,1,0,0,0,0,0,0,0
R12,Raccoon,2017,Reference,-90.93394,29.05423,plant,grass,0.8,0.2,0,71.12,5.08,1,0,1,0,0
R12,Raccoon,2018,Reference,-90.93394,29.05423,plant,grass,0.9,0,0.1,45.72,0,2,0,1,0.1,0
R13,Raccoon,2016,Reference,-90.93459,29.05445,plant,ugrass,1,0,0,17.78,0,1,0,0,0,0
R13,Raccoon,2017,Reference,-90.93459,29.05445,plant,mix,1,0,0,93.98,0,2,0,0.5,0,0.5
R13,Raccoon,2018,Reference,-90.93459,29.05445,plant,ugrass,1,0,0,30.48,0,1.5,0,0,0,0
R2,Raccoon,2016,Reference,-90.92489,29.04962,plant,mix,1,0,0,12.7,0,2,0,0.5,0,0.5
R2,Raccoon,2017,Reference,-90.92489,29.04962,plant,shrub,0.9,0,0.1,5.08,0,2,0,0,0,1
R2,Raccoon,2018,Reference,-90.92489,29.04962,plant,shrub,1,0,0,121.92,0,1,0,0,0,1
R3,Raccoon,2016,Reference,-90.9192,29.04962,plant,BM,1,0,0,12.7,0,2,0,0,0.9,0.1
R3,Raccoon,2017,Reference,-90.9192,29.04962,plant,BM,1,0,0,114.3,0,1,0,0,1,0
R3,Raccoon,2018,Reference,-90.9192,29.04962,mix,BM,0.5,0.5,0,30.48,12.7,1.5,0,0,1,0
R4,Raccoon,2016,Restored,-90.92,29.04956,mix,grass,0.4,0.6,0,5.08,0,1,0,1,0,0
R4,Raccoon,2017,Restored,-90.92,29.04956,water,water,0,1,0,0,5.08,0,0,0,0,0
R4,Raccoon,2018,Restored,-90.92,29.04956,bare,bare,0,0,1,0,0,0,0,0,0,0
R5,Raccoon,2016,Restored,-90.92145,29.05083,bare,sal,0.25,0.2,0.55,16.51,2.54,1,1,0,0,0
R5,Raccoon,2017,Restored,-90.92145,29.05083,bare,sal,0.05,0,0.95,26.9748,0,1,1,0,0,0
R5,Raccoon,2018,Restored,-90.92145,29.05083,plant,grass,0.5,0.5,0,30.48,2.54,1,0,1,0,0
R6,Raccoon,2016,Restored,-90.91919,29.05156,plant,sal,0.75,0,0.25,74.93,0,1,1,0,0,0
R6,Raccoon,2017,Restored,-90.91919,29.05156,plant,mix,0.8,0.1,0.1,55.0799,1.27,1,0.4,0.6,0,0
R6,Raccoon,2018,Restored,-90.91919,29.05156,mix,mix,0.5,0.5,0,30.48,5.08,2,0.5,0.5,0,0
R7,Raccoon,2016,Restored,-90.92663,29.05202,bare,sal,0.2,0,0.8,0,0,0,1,0,0,0
